name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,"Вес нетто, г",Минералы,Витамины,Штрихкод,Белок: грамм в 1 порции,"Объем, мл",Материал,Форма креатина,Вид транспортной системы,Вид белка
Аминокислота SupHerb L-Лизин 60 таб,"Мужское здоровье, Женское здоровье, Продлить молодость",Аминокислоты отдельные,ИЗРАИЛЬ,60,60.0,36.0,1490,таблетки,без ароматизаторов,"мужчин и женщин, пожилых","L-лизин - 500 мг, карбонат кальция стабилизатор, целлюлоза носитель, карнаубский воск глазирователь, гидроксипропилметилцеллюлоза стабилизатор, диоксид титана краситель, кроскармелоза натрия носитель, магния стеарат эмульгатор.",,,,,,,,,,
Аминокислота GEON Essential Amino L-Lysine 90 капсул,"Мужское здоровье, Женское здоровье, Продлить молодость",Аминокислоты отдельные,Россия,90,15.0,24.0,690,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","L-Лизин гидрохлорид, наполнитель – микрокристаллическая целлюлоза (Е460i), оболочка капсулы (желатин пищевой из шкур КРС, краситель – диоксид титана (Е171), краситель – понсо 4R* (Е124), краситель – оксид железа красного Е172(ii), или** желатин пищевой из шкур КРС, краситель – диоксид титана (Е171)).",,,,,,,,,,
Аминокислота Таурин GEON Taurine Power 90 капсул,"Мужское здоровье, Женское здоровье, Продлить молодость",Таурин,Россия,90,90.0,24.0,790,капсулы,"без ароматизаторов, без консервантов","мужчин и женщин, пожилых","таурин - 700 мг, желатиновая капсула (желатин пищевой из шкур KPC, краситель титана диоксид (E171).",,,,,,,,,,
Аргинин Takem Инфинити Аргинин-1200 60 капсул,"Нарастить массу, Мужское здоровье, Улучшить выносливость",Аргинин,Япония,60,20.0,36.0,8090,капсулы,"без ароматизаторов, без сахара","мужчин и женщин, пожилых","L-аргинин, крахмал, гидроксипропилметилцеллюлоза Е 464 (носитель), стеарат кальция Е 470 (носитель), диоксид кремния Е 551 (носитель)⁠.",100.0,,,,,,,,,
Аминокислотный комплекс Mutant GEAAR 378 г,Восстановление,Аминокислотные комплексы,Канада,378,30.0,24.0,1963,порошок,"без консервантов, без красителей, без лактозы, без сахара, веганский, вегетарианский","мужчин и женщин, пожилых","Аминокислоты (L-лейцин, L-валин, L-изолейцин, L-треонин, L-лизин, L-аргинин, L-фенилаланин, L-гистидин, L-метионин, L-триптофан), кислоты (яблочная кислота), электролиты (бисглицинат магния, оксид магния, цитрат калия, порошок кокосовой воды, морская соль, фосфат кальция, цитрат натрия, бикарбонат натрия), агент, препятствующий слеживанию (диоксид кремния), триглицериды со средней длиной цепи (из кокосового масла), BioPerine (экстракт плодов черного перца), натуральные пищевые ароматизаторы, подсластители (сукралоза, стевиоловые гликозиды), натуральный краситель (спирулина). Может содержать следы молока, сои, пшеницы и рыбы (коллаген).",378.0,"калий, кальций, магний",,,,,,,,
Бета-аланин GEON Beta-alanine power 80 капсул,"Нарастить массу, Улучшить выносливость",Аминокислоты отдельные,Россия,80,10.0,24.0,720,капсулы,"без консервантов, без мальтодекстрина, с витаминами","мужчин и женщин, пожилых","В 8 капс: бета-аланин - 5600 мг, L-аскорбиновая кислота (витамин C) - 800 мг, оболочка капсулы (желатин пищевой из шкур КРС, краситель диоксид титана (E171)).",,,C (аскорбиновая кислота),,,,,,,
Д-аспарагиновая кислота GEON D-Aspartic acid sport 120 капсул,"Нарастить массу, Улучшить выносливость",д-аспарагиновая кислота,Россия,120,30.0,24.0,1140,капсулы,"без ГМО, без консервантов, без мальтодекстрина","мужчин и женщин, пожилых","В 4 капс: D-Аспарагиновая кислота - 2800 мг, оболочка капсулы (желатин, краситель — диоксид титана Е171).",,,,,,,,,,
Карнитин GEON Carnitine Liquid 500 мл,"Сбросить вес, Мужское здоровье, Женское здоровье, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,500,80.0,24.0,1680,жидкость,"без ГМО, без сахара","мужчин и женщин, пожилых","На порцию 6,25 мл: L-карнитин - 900 мг, регулятор кислотности – лимонная кислота, загуститель, стабилизатор – ксантановая камедь, ароматизатор, консервант – сорбиновая кислота, подсластитель – сукралоза, краситель – бета каротин, вода подготовленная.",,,,,,,,,,
L-Carnitine 60000 + Синефрин Bombbar 500 мл,"Сбросить вес, Улучшить выносливость, Продлить молодость",Карнитин (L-карнитин),Россия,500,33.0,24.0,1490,жидкость,"без красителей, с витаминами, с сахарозаменителем","мужчин и женщин, пожилых","вода подготовленная, Л-карнитин, концентрированный яблочный сок, витаминный премикс (С, Н, В1, В3, В5, В6, В9, В12), натуральный ароматизатор «Малина», загустители: гуммиарабик, ксантановая камедь, экстракт Померанца (синефрин 6%), подсластители: стевия (экстракт листьев стевии) и сукралоза, консерванты: бензоат натрия и сорбат калия.",,,"B1 (тиамин), B12 (цианокобаламин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,,,,
Аминокислоты Reflexion BCAA 2:1:1 300 г,Восстановление,BCAA,Россия,300,33.0,18.0,1190,порошок,без сахара,"мужчин и женщин, пожилых","Для вкуса ""апельсин"": L-лейцин, L-изолейцин, L-валин, регулятор кислотности: лимонная кислота; ароматизаторы пищевые, подсластитель: сукралоза; антислеживающий агент: трикальцийфосфат, краситель пищевой натуральный: бета-каротин. Для вкуса ""натуральный"": L-лейцин, L-изолейцин, L-валин. Для вкуса ""гуарана""): L-лейцин, L-изолейцин, L-валин, регулятор кислотности: лимонная кислота; ароматизаторы пищевые, подсластитель: сукралоза; краситель пищевой натуральный: красный свекольный, антоцианин; экстракт картамуса, антислеживающий агент: трикальцийфосфат. Может содержать следы лактозы, сои и яичного белка.",300.0,,,,,,,,,
