name,Цель,Тип,"Объем, мл",Страна производитель,Количество в упаковке,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,Витамины,Количество порций,"Вес нетто, г",Штрихкод,Минералы,Белок: грамм в 1 порции,Вид белка,Форма креатина,Материал,Вид транспортной системы,Вид омега-3
Вода BAIKAL 430 м б/газ 450 мл,Продлить молодость,Напитки,450.0,Россия,450,24.0,70,жидкость,"без ароматизаторов, без консервантов, без красителей, без сахара","беременных, детей, мужчин и женщин, пожилых", Глубинная байкальская вода.,,,,,,,,,,,
Напиток энергетический безалкогольный Monster Energy Original 500 мл,Улучшить выносливость,Напитки,500.0,Россия,500,12.0,90,жидкость,с витаминами,мужчин и женщин,"Подготовленная вода, сахар, регуляторы кислотности - лимонная кислота, цитрат натрия, биологически активные добавки к пище: «Таурин» (не более 120 мг/100 мл), «L-карнитин» ( 80 мг/100мл), ароматизатор, экстракт растительный «Кофеин натуральный» (не более 30 мг/100 мл), глюкуронолактон (не более 30 мг/100 мл), краситель – е150d, витамин С (3мг/100мл), консервант – бензоат натрия, краситель Е122.","B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,,,,,,,
Напиток энергетический безалкогольный Monster Energy Active 500 мл,Улучшить выносливость,Напитки,500.0,Россия,500,12.0,90,жидкость,с витаминами,мужчин и женщин," подготовленная вода, сахар, вкусо-ароматическая основа «Энергия» (красители: Е150d, Е104, консервант Е202), регулятор кислотности – лимонная кислота, биологически активные добавки к пище: «Таурин» (не более 120 мг/100 мл), L- карнитин (80мг/100мл), ароматизатор, экстракты растительные: «Кофеин натуральный» (не более 30 мг/100 мл), «Экстракт Мате», витаминный премикс (содержит витамины С, В3, В5 , В6, В9), консервант- бензоат натрия.","B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,,,,,,,
БАД для связок и суставов Fine Хондроитин и Глюкозамин  545 таблеток,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Восстановление, Прочность костей",Для связок и суставов,,Япония,540,36.0,12390,таблетки,"без ароматизаторов, с витаминами","мужчин и женщин, пожилых","глюкозамин, порошок экстракта хряща акулы, экстракт соевых бобов, витамин С, порошок бурой водоросли «Келп», витамин В1 (тиамина гидрохлорид), витамин В2 (рибофлавин), витамин В6 (пиридоксина гидрохлорид), коллаген, эфир сахарозы и жирных кислот (Е 473).","B1 (тиамин), B2 (рибофлавин), B6 (пиридоксин), C (аскорбиновая кислота)",181.0,150.0,,,,,,,,
БАД для связок и суставов Takem Инфинити Сила Хондроитина и Глюкозамина 800 таблеток,"Подвижность и здоровье суставов, Прочность костей",Для связок и суставов,,Япония,800,36.0,8390,таблетки,без ароматизаторов,"мужчин и женщин, пожилых","Глюкозамин гидрохлорид, коллаген свиной, лактоза, порошок акульего хряща, микрокристаллическая целлюлоза (носитель), эфиры сахарозы жирных кислот (носитель), экстракт коры ункарии волосистой, метилцеллюлоза (носитель).⁠",,100.0,200.0,,,,,,,,
Вода питьевая «Южный берег» газированная 500 мл,"Мужское здоровье, Женское здоровье",Напитки,,Россия,500,12.0,50,жидкость,,мужчин и женщин,вода питьевая газированная,,1.0,520.0,4626015205221,,,,,,,
Морской Коллаген II типа для подвижности суставов 40 г,"Подвижность и здоровье суставов, Прочность костей",Коллаген,,Россия,40,24.0,1890,порошок,"без ароматизаторов, без консервантов, без красителей, без сахара","мужчин и женщин, пожилых",Морской коллаген II типа.,,80.0,40.0,,,,,,,,
Магниевая вода No Stress 500 мл,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Эффективность сна, Избавление от стресса и депрессии",Напитки,,Россия,500,12.0,120,жидкость,,"мужчин и женщин, пожилых","артезианская вода, минеральный комплекс",,2.0,670.0,4603738448128,магний,,,,,,
БАД для связок и суставов Fine Акулий хрящ 520 таблеток,"Подвижность и здоровье суставов, Мужское здоровье, Женское здоровье, Продлить молодость, Восстановление, Прочность костей",Для связок и суставов,,Япония,520,36.0,14790,таблетки,,"мужчин и женщин, пожилых","На 1 таб: Экстракт хряща акулы - 87,5 мг, Лактоза - 37,5 мг",,57.0,150.0,,,,,,,,
Д-аспарагиновая кислота GEON D-Aspartic acid sport 120 капсул,"Нарастить массу, Улучшить выносливость",д-аспарагиновая кислота,,Россия,120,24.0,1140,капсулы,"без ГМО, без консервантов, без мальтодекстрина","мужчин и женщин, пожилых","В 4 капс: D-Аспарагиновая кислота - 2800 мг, оболочка капсулы (желатин, краситель — диоксид титана Е171).",,30.0,,,,,,,,,
Аминокислотный пептидный комплекс STL Essential Amino Acids IPH AEN для суставов и связок 90 капсул,"Подвижность и здоровье суставов, Продлить молодость",Для связок и суставов,,Россия,90,36.0,1590,капсулы,"без ароматизаторов, без консервантов","мужчин и женщин, пожилых","Сырье для пищевой промышленности ""EAA IPH AEN"" (содержит L-Лизин, L-Лейцин, L-Фенилаланин, L-Валин, L-Треонин, L-Изолейцин, пептидный комплекс IPH AEN, L- Метионин, L-Триптофан), желатиновая капсула (содержит желатин, краситель диоксид титана).",,90.0,,,,,,,,,
Напиток Oxy Balance Relax 400 мл,Продлить молодость,Напитки,400.0,Россия,400,24.0,160,жидкость,"без красителей, без сахара, с витаминами","мужчин и женщин, пожилых","подготовленная питьевая вода, витаминно-минеральный премикс, магния сульфат, регулятор кислотности - лимонная кислота, ароматизаторы, консервант - сорбат калия, экстракт лаванды, подсластитель - сукралоза, экстракт мелиссы, экстракт мяты, экстракт пустырника, экстракт ромашки.","B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), D3 (холекальциферол)",1.0,,4630018862664,"калий, кальций, магний, фосфор, цинк",,,,,,
Энергетический гель ACADEMY-T GEL4U Energy Gel 60 мл 30 шт,Улучшить выносливость,Гели,,Россия,30,12.0,4500,гель,без аспартама,мужчин и женщин,"вода, мальтодекстрин, фруктоза кристаллическая, агенты желирующие (ксантановая камедь), натриевая соль карбоксиметил целлюлозы, регулятор кислотности (яблочная кислота), консерванты (бензонат натрия, сорбат калия), ароматизаторы пищевые.",,30.0,,,,,,,,,
"Комплекс для связок и суставов ACADEMY-T Sustamin Forte, 180 капсул",Подвижность и здоровье суставов,Для связок и суставов,,Россия,180,24.0,1890,капсулы,с витаминами,пожилых,"коллаген гидролизат, глюкозамина сульфат, хондроитина сульфат,биологически активные белки молока, фосфат кальция, меди сульфат, марганца ацетат тетрагидрат, магния оксид, метилсульфонилметан, аскорбиновая кислота, альфа токоферола ацетат, d-биотин, пиридоксина гидрохлорид, витамин D3, вспомогательное вещество-желатин",,30.0,240.0,4607055681244,,,,,,,
Комплекс с коллагеном Геладринк Форте Люкс 14 саше,Подвижность и здоровье суставов,Коллаген,,Чехия,14,24.0,2740,пакетики,с витаминами,"мужчин и женщин, пожилых","пептиды гидролизата коллагена, Гидроксипролин,  Глюкозамин сульфат 2КСl,  Хондроитинсульфат, Метилсульфонилметан, витамин С, витамин Е, селен, медь, марганец, Босвеллия Серрата (экстракт)","C (аскорбиновая кислота), E (токоферол)",14.0,196.0,8594004695697,"марганец, медь, селен",,,,,,
Гиалуроновая кислота Jarrow Formulas Hyaluronic Acid 60 капсул,"Подвижность и здоровье суставов, Женское здоровье, Продлить молодость",Для связок и суставов,,США,60,24.0,2530,капсулы,без ароматизаторов,"мужчин и женщин, пожилых","гиалуроновая кислота - 120 мг, целлюлоза (носитель), носитель гидроксипропилметилцеллюлоза (оболочка капсулы), антислеживающие агенты: диоксид кремния, магниевая соль стеариновой кислоты.",,30.0,,,,,,,,,
Комплекс с коллагеном Геладринк Фаст 360 капсул,Подвижность и здоровье суставов,Коллаген,,Чехия,360,24.0,4055,капсулы,с витаминами,"мужчин и женщин, пожилых","Пептидный коллагеновый гидролизат «Gelita®»,  Босвеллия Серрата, витамин С, витамин Е, селен","C (аскорбиновая кислота), E (токоферол)",30.0,265.0,8594004693020,селен,,,,,,
"Кокосовая вода Foco с соком граната, 330 мл",Продлить молодость,Напитки,,Вьетнам,330,12.0,240,жидкость,с витаминами,мужчин и женщин,"натуральная кокосовая вода 94,90%, гранатовый сок 5%, витамин С.",,1.0,,016229917609,,,,,,,
Морской Коллаген II типа (с чагой) для подвижности суставов 40 г,"Подвижность и здоровье суставов, Прочность костей",Коллаген,,Россия,40,24.0,1490,порошок,"без ароматизаторов, без консервантов, без красителей, без сахара","мужчин и женщин, пожилых","Морской коллаген II типа, экстракт чаги сухой.",,80.0,40.0,,,,,,,,
