name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Протеин Trec Nutrition Whey 100 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,2270,76.0,36.0,5640,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без пальмового масла, без сои, без соли",мужчин и женщин,21.0,2270.0,5901828348075,"Концентрат сывороточного протеина, какао-порошок для вкуса шоколад,шоколад-вишня,шоколад-кунжут,кокос-шоколад,шоколад-ореховый крем,шоколад-апельсин и пряничный;регулятор кислотности для вкуса клубника и малина-лимонная и яблочная кислота;ароматизированный загуститель-натриевая соль карбоксиметилцеллюлозы;подсластитель-сукралоза;бета-керотин-краситель ваниль,банан,печенье,пина колада;кошениль красный А-краситель для вкуса клубника и малина;краситель для арахисовое масло-аммиак карамели",,,,,
Гейнер Trec Nutrition Solid Mass 1000 г,"Нарастить массу, Восстановление",Гейнеры,Польша,1000,10.0,24.0,1470,Сывороточный концентрат,порошок,,мужчин и женщин,13.0,1000.0,5901828342400,"Мальтодекстрины, Концентрат Сывороточного Белка, Декстроза, Рисовый Крахмал, Вит. С (Л-Аскорбиновая Кислота),  Niacyna (Nikotynamid), Вит. Е, Пантотеновая Кислота (Д-Пантотенат Кальция), Вит. B6 (Пиридоксина Гидрохлорид), Вит. B2 (Рибофлавин), Вит. B1 (Тиамина Мононитрат), Фолиевая Кислота (Птероилмоноглютаминовая Кислота), Биотин (D-Биотин), Вит. B12","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,
Протеин Ultimate Nutrition ProStar Whey 2390 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2390,80.0,730.0,5211,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без пальмового масла",мужчин и женщин,25.0,2735.0,099071001436,"Микрофильтрованный и Ультрафильтрованный сывороточный протеин (изолят и концентрат сывороточного белка, пептиды), соевый лецитин, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия.",,,,,
Протеин Mutant Whey 2270 г,"Сбросить вес, Восстановление",Протеины,Канада,2270,63.0,24.0,4860,Сывороточный концентрат,порошок,"без консервантов, без красителей, без крахмала",мужчин и женщин,22.0,2270.0,627933027203,"концентрат сывороточного протеина, изолят сывороточного протеина, инулин, ксантановая камедь, пептиды глутамина, натуральные и искусственные ароматизаторы, цитрат калия, ацесульфам калия, сукралоза, соевый лецитин.",,,,,
Гейнер QNT Muscle Mass 3000 4500 г,"Нарастить массу, Восстановление",Гейнеры,Бельгия,4500,30.0,24.0,5180,Сывороточный концентрат,порошок,"без ГМО, без консервантов",мужчин и женщин,7.0,4800.0,5425002400279,"Мальтодекстрин, декстроза, концентрат сывороточного протеина (молоко), вкусовая добавка, загуститель Е412, фруктоза, подсластитель Е951, краситель, витамины: В3, В5, В6, В2, В12.",,,,,
Гейнер Ultimate Nutrition Muscle Juice Revolution 2600 5040 г,"Нарастить массу, Улучшить выносливость, Восстановление",Гейнеры,США,5040,19.0,24.0,6980,Многокомпонентный,порошок,без сахара,мужчин и женщин,56.0,5040.0,099071002389,"L-Аргинин, L-Аспарагиновая кислота, L-Цистин, L-Аланин, L-Глютаминовая кислота, L-Глицин, L-Гистидин, L-Пролин, L-Серин, L-Тирозин, Концентрат сывороточного протеина, изолят сывороточного протеина, изолят молочного белка, гидролизованный сывороточный протеин, яичный протеин, мицеллярный казеин, концентрат молочного белка, кальция казеинат, Кукурузный мальтодекстрин, рисовый мальтодекстрин, Karbo-Lyn®, Масло канолы, MCT (триглицериды со средней цепью), Омега 3 Рыбий жир, CLA (конъюгированная линолевая кислота), L-Глютамин, L-Аланил-L-Глютамин, Протеаза, Лактаза, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия, соевый лецитин.",,,,,
Протеин Activlab Muscle UP Protein 2000 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,2000,40.0,24.0,5490,Сывороточный концентрат,порошок,"без ГМО, без консервантов, без крахмала, без пальмового масла, без сои, без соли",мужчин и женщин,35.0,2000.0,5907368871592,"концентрат сывороточного протеина, мальтодекстрин, моногидрат креатина, таурин, глюкоза, ароматизатор, загуститель: карбоксиметилцеллюлоза, регулятор кислотности: лимонная кислота (аромат клубники, йогурта-вишни и лесных фруктов), подсластители: ацесульфам К и сукралоза, красители: кошенильный красный (аромат клубники, йогурта-вишни и лесных фруктов) – может оказывать неблагоприятное влияние на активность и внимание у детей, аммиачная карамель (шоколадный и ореховый аромат), диоксид титана (ванильный, кокосово-ванильный, банановый аромат), кошениль (лесной фрукт). ароматизатор), блестящий синий (аромат лесных фруктов).",,креатин моногидрат,,,
Гейнер Power Pro Gainer 30 1000 г,"Нарастить массу, Восстановление",Гейнеры,Россия,1000,25.0,24.0,1090,Сывороточный концентрат,порошок,"без ГМО, без сои",мужчин и женщин,12.0,1000.0,4670019900262,"концентрат белка молочной сыворотки, мальтодекстрин, фруктоза, загуститель – дикрахмалфосфат ацетилированный (Е 1414), креатин, загуститель – гуаровая камедь (Е 412), эмульгатор — соевый лецитин (Е 322), аминокислоты: аргинин, таурин, глутамин, глицин, L-карнитин, экстракт гуараны, ароматизатор – банан, регулятор кислотности – лимонная кислота (Е 330), кофеин, подсластитель – сукралоза (Е 955), краситель — куркумин (Е100).",,,,,
Гейнер Power Pro Gainer 10 1000 г,"Нарастить массу, Восстановление",Гейнеры,Россия,1000,25.0,24.0,790,Сывороточный концентрат,порошок,"без ГМО, без консервантов",мужчин и женщин,4.0,1000.0,4670019900255,"мальтодекстрин, фруктоза, концентрат белка молочной сыворотки, загуститель – дикрахмалфосфат ацетилированный (Е 1414), креатин, загуститель – гуаровая камедь (Е 412), эмульгатор – соевый лецитин (Е 322), аминокислоты: аргинин, таурин, глутамин, глицин, L-карнитин, экстракт гуараны, ароматизатор – лесная ягода, регулятор кислотности – лимонная кислота (Е 330), кофеин, подсластитель – сукралоза (Е 955), краситель – кармин (Е 120) / индигокармин (Е132). 	",,,,,
Гейнер VPLab Mass Builder 1200 г,"Нарастить массу, Восстановление",Гейнеры,Великобритания,1200,12.0,24.0,3070,Сывороточный концентрат,порошок,с витаминами,мужчин и женщин,20.0,1200.0,5060255355046,"мальтодекстрин, концентрат сывороточного протеина, фруктоза, сахароза, амилопектиновый кукурузный крахмал, Palatinose™ (изомальтулоза), моногидрат креатина, ароматизатор, фосфат натрия, оксид магния, загуститель (карбоксиметилцеллюлоза), подсластитель (сукралоза), L-аскорбиновая кислота, D-биотин, никотинамид, DL-α-Токоферола ацетат, кальция пантотенат, пиридоксина гидрохлорид, рибофлавин-5-фосфат натрия, тиамина гидрохлорид, ретинола ацетат, фолиевая кислота, филлохинон, холекальциферол, цианокобаламин, фумарат железа, глюконат цинка, глюконат марганца, глюконат меди, йодид калия, пиколинат хрома, эмульгатор (соевый лецитин). Может содержать следы глютена, орехов и яичного протеина.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",,"железо, йод, калий, кальций, магний, марганец, медь, хром, цинк",,
